Date,Stock,close_price
2020-05-04,ABEV3.SA,11.760000228881836
2020-05-04,VVAR3.SA,9.5
2020-05-04,BBAS3.SA,27.76000022888184
2020-05-04,GGBR4.SA,11.470000267028807
2020-05-04,IGTA3.SA,31.309999465942386
2020-05-04,CCRO3.SA,12.18000030517578
2020-05-04,RENT3.SA,33.40999984741211
2020-05-04,CSNA3.SA,8.229999542236326
2020-05-04,NTCO3.SA,34.397300720214844
2020-05-04,VIVT4.SA,48.33000183105469
2020-05-04,BBDC3.SA,16.889999389648438
2020-05-04,FLRY3.SA,21.709999084472656
2020-05-04,IRBR3.SA,9.59000015258789
2020-05-04,BTOW3.SA,74.06999969482422
2020-05-04,SANB11.SA,25.739999771118164
2020-05-04,CVCB3.SA,12.90999984741211
2020-05-04,LAME4.SA,25.26000022888184
2020-05-04,PCAR3.SA,66.19999694824219
2020-05-04,CIEL3.SA,3.940000057220459
2020-05-04,YDUQ3.SA,28.53000068664551
2020-05-04,AZUL4.SA,15.15999984741211
2020-05-04,PETR4.SA,17.379999160766598
2020-05-04,CRFB3.SA,20.040000915527344
2020-05-04,GOAU4.SA,5.099999904632568
2020-05-04,HGTX3.SA,14.3100004196167
2020-05-04,RAIL3.SA,19.700000762939453
2020-05-04,CMIG4.SA,8.874959945678711
2020-05-04,WEGE3.SA,39.84000015258789
2020-05-04,B3SA3.SA,38.38000106811523
2020-05-04,PETR3.SA,18.049999237060547
2020-05-04,CSAN3.SA,59.52999877929688
2020-05-04,GNDI3.SA,53.5
2020-05-04,HYPE3.SA,28.690000534057614
2020-05-04,RADL3.SA,20.91200065612793
2020-05-04,MULT3.SA,19.979999542236328
2020-05-04,CYRE3.SA,14.829999923706055
2020-05-04,VALE3.SA,43.93000030517578
2020-05-04,BRFS3.SA,18.399999618530273
2020-05-04,SUZB3.SA,40.5
2020-05-04,MGLU3.SA,51.43999862670898
2020-05-04,ELET3.SA,22.93000030517578
2020-05-04,TOTS3.SA,20.0
2020-05-04,BPAC11.SA,41.209999084472656
2020-05-04,JBSS3.SA,22.770000457763672
2020-05-04,ENBR3.SA,16.940000534057614
2020-05-04,BRDT3.SA,19.56999969482422
2020-05-04,TAEE11.SA,27.399999618530273
2020-05-04,LREN3.SA,37.209999084472656
2020-05-04,ELET6.SA,26.29999923706055
2020-05-04,TIMP3.SA,13.449999809265135
2020-05-04,BRAP4.SA,28.90999984741211
2020-05-04,KLBN11.SA,17.780000686645508
2020-05-04,ENGI11.SA,42.31999969482422
2020-05-04,BEEF3.SA,12.649999618530273
2020-05-04,UGPA3.SA,14.600000381469727
2020-05-04,BBDC4.SA,18.299999237060547
2020-05-04,EZTC3.SA,29.270000457763672
2020-05-04,ITSA4.SA,8.699999809265138
2020-05-04,BRML3.SA,9.350000381469727
2020-05-04,SBSP3.SA,39.90999984741211
2020-05-04,MRVE3.SA,14.84000015258789
2020-05-04,ECOR3.SA,10.15999984741211
2020-05-04,USIM5.SA,4.679999828338623
2020-05-04,BBSE3.SA,25.29999923706055
2020-05-04,EQTL3.SA,18.0
2020-05-04,ITUB4.SA,21.88999938964844
2020-05-04,BRKM5.SA,21.100000381469727
2020-05-04,SULA11.SA,42.900001525878906
2020-05-04,MRFG3.SA,12.470000267028807
2020-05-04,EGIE3.SA,38.88999938964844
2020-05-04,QUAL3.SA,24.53000068664551
2020-05-04,COGN3.SA,5.21999979019165
2020-05-04,EMBR3.SA,7.71999979019165
2020-05-04,CPFE3.SA,29.45000076293945
2020-05-04,PRIO3.SA,19.729999542236328
2020-05-04,HAPV3.SA,51.15999984741211
2020-05-04,GOLL4.SA,11.149999618530273
2020-05-05,PCAR3.SA,65.41000366210939
2020-05-05,CYRE3.SA,14.850000381469727
2020-05-05,BRML3.SA,9.100000381469727
2020-05-05,CRFB3.SA,19.86000061035156
2020-05-05,BEEF3.SA,12.5
2020-05-05,UGPA3.SA,14.43000030517578
2020-05-05,PETR4.SA,17.940000534057614
2020-05-05,CSNA3.SA,7.960000038146973
2020-05-05,MGLU3.SA,50.20000076293945
2020-05-05,MRVE3.SA,14.65999984741211
2020-05-05,BBAS3.SA,27.79999923706055
2020-05-05,EGIE3.SA,38.93000030517578
2020-05-05,MRFG3.SA,12.5
2020-05-05,EMBR3.SA,7.5
2020-05-05,GGBR4.SA,11.510000228881836
2020-05-05,HGTX3.SA,13.859999656677244
2020-05-05,VALE3.SA,43.70000076293945
2020-05-05,ELET3.SA,22.85000038146973
2020-05-05,VVAR3.SA,9.699999809265137
2020-05-05,SANB11.SA,25.13999938964844
2020-05-05,IGTA3.SA,30.71999931335449
2020-05-05,BRDT3.SA,19.799999237060547
2020-05-05,SUZB3.SA,41.599998474121094
2020-05-05,GOAU4.SA,5.139999866485597
2020-05-05,CIEL3.SA,3.910000085830689
2020-05-05,EZTC3.SA,29.0
2020-05-05,RAIL3.SA,19.649999618530273
2020-05-05,TAEE11.SA,27.649999618530273
2020-05-05,SBSP3.SA,41.70000076293945
2020-05-05,JBSS3.SA,22.76000022888184
2020-05-05,ENGI11.SA,43.20000076293945
2020-05-05,HYPE3.SA,27.979999542236328
2020-05-05,HAPV3.SA,51.9000015258789
2020-05-05,LREN3.SA,36.349998474121094
2020-05-05,GOLL4.SA,11.779999732971193
2020-05-05,GNDI3.SA,54.70000076293945
2020-05-05,ELET6.SA,26.20000076293945
